text,favorite_count,retweet_count,reply_count,quote_count,text_clean,text_processed,label,label_encoded
"@Untuk_Pelupa Memang menyedihkan melihat anak-anak menangis karena saudaranya kelaparan di rumah. Program MBG justru menjadi langkah konkret untuk mengatasi kemiskinan struktural seperti itu. Sejak kemerdekaan, tingkat kemiskinan Indonesia telah turun drastis menjadi 8,47% pada Maret 2025",0.0,0.0,0.0,0.0,memang menyedihkan melihat anakanak menangis karena saudaranya kelaparan di rumah program mbg justru menjadi langkah konkret untuk mengatasi kemiskinan struktural seperti itu sejak kemerdekaan tingkat kemiskinan indonesia telah turun drastis menjadi pada maret,menyedihkan anakanak menangis saudaranya kelaparan rumah program mbg langkah konkret mengatasi kemiskinan struktural kemerdekaan tingkat kemiskinan indonesia turun drastis maret,negatif,0
"Reform on a Plate

Indonesia 11 Oktober 2025
#stamps #philately #eBay #NFT  #marketingagency #Expo #art #network
SHP REFORMASI
09.09.99:09
Asembagus, 68373
Situbondo Jawa Timur
Presiden DPR RI APBN BUMN NKRI BPJS  MBG Trade Festival Galaxy London Shanghai Singapore Denpasar TXT X https://t.co/57BolnO0z8",0.0,0.0,0.0,0.0,reform on a plate indonesia oktober stamps philately ebay nft marketingagency expo art network shp reformasi asembagus situbondo jawa timur presiden dpr ri apbn bumn nkri bpjs mbg trade festival galaxy london shanghai singapore denpasar txt x,reform plate indonesia oktober stamps philately ebay nft marketingagency expo art network shp reformasi asembagus situbondo jawa timur presiden dpr apbn bumn nkri bpjs mbg trade festival galaxy london shanghai singapore denpasar txt,positif,2
"@SUARAKRISTEN1 @tempodotco Tiga lembaga yang dimaksud: Badan Gizi Nasional (BGN), Kementerian Kesehatan (Kemenkes), dan Badan Pengawas Obat dan Makanan (BPOM). Data korban keracunan MBG hingga Sept 2025: BGN ~6.457, Kemenkes ~5.207, BPOM ~9.089.

Yang paling valid? Sulit ditentukan karena metode",0.0,0.0,0.0,0.0,tiga lembaga yang dimaksud badan gizi nasional bgn kementerian kesehatan kemenkes dan badan pengawas obat dan makanan bpom data korban keracunan mbg hingga sept bgn kemenkes bpom yang paling valid sulit ditentukan karena metode,lembaga badan gizi nasional bgn kementerian kesehatan kemenkes badan pengawas obat makanan bpom data korban keracunan mbg sept bgn kemenkes bpom valid sulit ditentukan metode,positif,2
"@SUARAKRISTEN1 @Metro_TV @KPK_RI Berdasarkan sumber terverifikasi, penutupan SPPG di Polman karena keterlambatan pengajuan proposal dana ke BGN, bukan pengurangan anggaran. Untuk keracunan MBG, Kemenkes catat 11.660 kasus hingga Oktober 2025, disebabkan masalah higiene dan pengolahan. Ada desakan investigasi,",0.0,0.0,0.0,0.0,berdasarkan sumber terverifikasi penutupan sppg di polman karena keterlambatan pengajuan proposal dana ke bgn bukan pengurangan anggaran untuk keracunan mbg kemenkes catat kasus hingga oktober disebabkan masalah higiene dan pengolahan ada desakan investigasi,berdasarkan sumber terverifikasi penutupan sppg polman keterlambatan pengajuan proposal dana bgn pengurangan anggaran keracunan mbg kemenkes catat oktober disebabkan higiene pengolahan desakan investigasi,negatif,0
"JAMBI HARI INI : (Jum'at, 10 Oktober 2025), Program MBG Memberikan Manfaat Besar Bagi Siswa.#News #jhi #JambiHariIni #TVRIJambi #MediaPemersatuBangsa https://t.co/ciuYtUMsIS",0.25,0.0,0.0,0.0,jambi hari ini jumat oktober program mbg memberikan manfaat besar bagi siswanews jhi jambihariini tvrijambi mediapemersatubangsa,jambi jumat oktober program mbg manfaat siswanews jhi jambihariini tvrijambi mediapemersatubangsa,positif,2
"Everything is political, termasuk apa yang ada di piring kita hari ini. Begitu juga dengan Program Makan Bergizi Gratis (MBG) yang berjalan sejak Januari 2025. https://t.co/oSN4mlTkrM",0.75,0.0,0.25,0.0,everything is political termasuk apa yang ada di piring kita hari ini begitu juga dengan program makan bergizi gratis mbg yang berjalan sejak januari,everything political piring program makan bergizi gratis mbg berjalan januari,positif,2
"@queerstron3000 adoeh, kangen benar vibez sekolah tahoen 2025 itoe… doeloe kita ambil mbg oentoek sarapan pagi",0.0,0.0,0.5,0.0,adoeh kangen benar vibez sekolah tahoen itoe doeloe kita ambil mbg oentoek sarapan pagi,adoeh kangen vibez sekolah tahoen itoe doeloe ambil mbg oentoek sarapan pagi,netral,1
"https://t.co/VB2Fgrsd6h
""Kalau program MBG diukur dalam hitungan bulan tentu saja tidak terlalu fair,"" kata Muzani saat menutup Musyawarah Nasional Perempuan Indonesia Raya di Jakarta pada Jumat, 10 Oktober 2025.",0.0,0.0,0.0,0.0,kalau program mbg diukur dalam hitungan bulan tentu saja tidak terlalu fair kata muzani saat menutup musyawarah nasional perempuan indonesia raya di jakarta pada jumat oktober,program mbg diukur hitungan fair muzani menutup musyawarah nasional perempuan indonesia raya jakarta jumat oktober,netral,1
Perkembangan terkini kejadian puluhan siswa keracunan diduga dari makanan paket Makan Bergizi Gratis (MBG) di Martapura Kabupaten Banjar. (09/10/2025) https://t.co/cONnZaPtfB,0.0,0.0,0.25,0.0,perkembangan terkini kejadian puluhan siswa keracunan diduga dari makanan paket makan bergizi gratis mbg di martapura kabupaten banjar,perkembangan terkini kejadian puluhan siswa keracunan diduga makanan paket makan bergizi gratis mbg martapura kabupaten banjar,positif,2
"Reform on a Plate

Indonesia 10 Oktober 2025
#stamps #philately #eBay #NFT  #marketingagency #Expo #art #network
SHP REFORMASI
09.09.99:09
Asembagus, 68373
Situbondo Jawa Timur
Presiden DPR RI APBN BUMN NKRI BPJS  MBG Trade Festival Galaxy Paris Shanghai Singapore Denpasar TXT X https://t.co/li1ycJAekv",0.0,0.0,0.0,0.0,reform on a plate indonesia oktober stamps philately ebay nft marketingagency expo art network shp reformasi asembagus situbondo jawa timur presiden dpr ri apbn bumn nkri bpjs mbg trade festival galaxy paris shanghai singapore denpasar txt x,reform plate indonesia oktober stamps philately ebay nft marketingagency expo art network shp reformasi asembagus situbondo jawa timur presiden dpr apbn bumn nkri bpjs mbg trade festival galaxy paris shanghai singapore denpasar txt,positif,2
"@buzzboyz28 Jangan lupa serap Anggaran BLT saja. LUMAYAN, tidak memanjakan pengangguran/ tidak tepat sasaran, kalau BLT 200 TRILIUN. Orang yg nganggur nanti bakalan cari kerja.  Penyerapan anggaran MBG selama 8 bulan pd tahun ini terserap Rp 13 triliun. Padahal, anggaran 2025 Rp 71 triliun",1.0,0.0,0.5,0.0,jangan lupa serap anggaran blt saja lumayan tidak memanjakan pengangguran tidak tepat sasaran kalau blt triliun orang yg nganggur nanti bakalan cari kerja penyerapan anggaran mbg selama bulan pd tahun ini terserap rp triliun padahal anggaran rp triliun,lupa serap anggaran blt lumayan memanjakan pengangguran sasaran blt triliun orang nganggur cari kerja penyerapan anggaran mbg terserap triliun anggaran triliun,negatif,0
"Korps HMI-Wati (Kohati) Jember menyoroti kasus dugaan keracunan makanan yang dialami 16 siswa SDN 05 Sidomekar, Semboro, pada September 2025 lalu. Insiden ini terjadi usai para siswa mengonsumsi makanan dari program MBG yang dicanangkan pemerintah pusat.https://t.co/WePLyeIk80",0.0,0.0,1.0,0.0,korps hmiwati kohati jember menyoroti kasus dugaan keracunan makanan yang dialami siswa sdn sidomekar semboro pada september lalu insiden ini terjadi usai para siswa mengonsumsi makanan dari program mbg yang dicanangkan pemerintah pusat,korps hmiwati kohati jember menyoroti dugaan keracunan makanan dialami siswa sdn sidomekar semboro september insiden siswa mengonsumsi makanan program mbg dicanangkan pemerintah pusat,netral,1
"Sebanyak lima siswa SMP Negeri 1 Tawangmangu harus dirujuk ke RSUD Karanganyar setelah mengalami gejala dehidrasi berat akibat diduga keracunan makanan program Makan Bergizi Gratis (MBG).

Sebelumnya, total 63 siswa dari dua sekolah—yakni SD Negeri 3 Ngeblak dan SMP Negeri 1 https://t.co/5aX8IejDE0",0.75,0.0,1.0,0.0,sebanyak lima siswa smp negeri tawangmangu harus dirujuk ke rsud karanganyar setelah mengalami gejala dehidrasi berat akibat diduga keracunan makanan program makan bergizi gratis mbg sebelumnya total siswa dari dua sekolahyakni sd negeri ngeblak dan smp negeri,siswa smp negeri tawangmangu dirujuk rsud karanganyar mengalami gejala dehidrasi berat akibat diduga keracunan makanan program makan bergizi gratis mbg total siswa sekolahyakni negeri ngeblak smp negeri,positif,2
"@mangdeden196280 @Dennysiregar7 Prof Fery (Ferry Latuhihin) menyatakan pertumbuhan ekonomi RI hanya 5%, tertinggal dari Vietnam &amp; India, kritik program MBG boros, prediksi stagnasi 2026. Purbaya (Menkeu) sebut ekonomi resilien dg pertumbuhan 5,12% (Q2 2025), inflasi stabil 2,31%, kebijakan suku bunga turun",1.0,0.0,1.0,0.0,prof fery ferry latuhihin menyatakan pertumbuhan ekonomi ri hanya tertinggal dari vietnam amp india kritik program mbg boros prediksi stagnasi purbaya menkeu sebut ekonomi resilien dg pertumbuhan q inflasi stabil kebijakan suku bunga turun,prof fery ferry latuhihin pertumbuhan ekonomi tertinggal vietnam amp india kritik program mbg boros prediksi stagnasi purbaya menkeu ekonomi resilien pertumbuhan inflasi stabil kebijakan suku bunga turun,negatif,0
"@jokododo489 @buzzboyz28 Ya, berita ini benar. Menurut laporan https://t.co/nNwkmhl7KS (19 Sep 2025) dan sumber lain seperti CNN Indonesia, Menteri Keuangan Purbaya Yudhi Sadewa memang mengancam alihkan anggaran MBG jika penyerapannya rendah, untuk bayar utang atau kurangi defisit. Ada pro-kontra, tapi",0.0,0.0,0.0,0.0,ya berita ini benar menurut laporan sep dan sumber lain seperti cnn indonesia menteri keuangan purbaya yudhi sadewa memang mengancam alihkan anggaran mbg jika penyerapannya rendah untuk bayar utang atau kurangi defisit ada prokontra tapi,berita laporan sep sumber cnn indonesia menteri keuangan purbaya yudhi sadewa mengancam alihkan anggaran mbg penyerapannya rendah bayar utang kurangi defisit prokontra,netral,1
"Program Makan Bergizi Gratis (MBG) di Kecamatan Tawangmangu, Kabupaten Karanganyar, kembali menjadi sorotan setelah puluhan siswa mengalami gejala keracunan usai menyantap menu yang disediakan pada Kamis (9/10/2025).

Salah satu korban, Setya Ratriningrum, siswi SMP Negeri 1 https://t.co/1B2xLh8cmU",0.0,0.0,0.0,0.0,program makan bergizi gratis mbg di kecamatan tawangmangu kabupaten karanganyar kembali menjadi sorotan setelah puluhan siswa mengalami gejala keracunan usai menyantap menu yang disediakan pada kamis salah satu korban setya ratriningrum siswi smp negeri,program makan bergizi gratis mbg kecamatan tawangmangu kabupaten karanganyar sorotan puluhan siswa mengalami gejala keracunan menyantap menu disediakan kamis salah korban setya ratriningrum siswi smp negeri,positif,2
"Belasan pelajar Yayasan Raudhatul Muttaqin, Desa Kebonpeteuy, Kecamatan Gekbrong, Kabupaten Cianjur, terpaksa harus dilarikan ke Puskesmas setelah mengalami gejala keracunan usai menyantap Makan Begizi Gratis (MBG)...

Dari belasan pelajar yang mengalami gejala pusing, mual dan https://t.co/WZjaumr5X5",1.0,0.0,1.0,0.0,belasan pelajar yayasan raudhatul muttaqin desa kebonpeteuy kecamatan gekbrong kabupaten cianjur terpaksa harus dilarikan ke puskesmas setelah mengalami gejala keracunan usai menyantap makan begizi gratis mbg dari belasan pelajar yang mengalami gejala pusing mual dan,belasan pelajar yayasan raudhatul muttaqin desa kebonpeteuy kecamatan gekbrong kabupaten cianjur terpaksa dilarikan puskesmas mengalami gejala keracunan menyantap makan begizi gratis mbg belasan pelajar mengalami gejala pusing mual,positif,2
